,county,jurisdiction,state
212,WASHINGTON COUNTY,WASHINGTON,FLORIDA
213,WAYNE COUNTY,WAYNE,WEST VIRGINIA
214,YUMA COUNTY,YUMA,ARIZONA
215,LANCASTER COUNTY,LANCASTER,NEBRASKA
216,HAWKINS COUNTY,HAWKINS,TENNESSEE
217,BENTON COUNTY,BENTON,TENNESSEE
218,GOODING COUNTY,GOODING,IDAHO
219,CUMBERLAND COUNTY,CUMBERLAND,TENNESSEE
220,BONNER COUNTY,BONNER,IDAHO
221,SEQUATCHIE COUNTY,SEQUATCHIE,TENNESSEE
222,WOODBURY COUNTY,WOODBURY,IOWA
223,CLEARWATER COUNTY,CLEARWATER,IDAHO
224,SEVIER COUNTY,SEVIER,UTAH
225,GIBSON COUNTY,GIBSON,TENNESSEE
226,LINCOLN COUNTY,LINCOLN,IDAHO
227,JEFFERSON COUNTY,JEFFERSON,IDAHO
228,GREENE COUNTY,GREENE,TENNESSEE
229,JEROME COUNTY,JEROME,IDAHO
230,MARSHALL COUNTY,MARSHALL,TENNESSEE
231,MINIDOKA COUNTY,MINIDOKA,IDAHO
232,SHERIDAN COUNTY,SHERIDAN,MONTANA
233,BENEWAH COUNTY,BENEWAH,IDAHO
234,JEFFERSON COUNTY,JEFFERSON,TENNESSEE
235,JOHNSON COUNTY,JOHNSON,TENNESSEE
236,COFFEE COUNTY,COFFEE,TENNESSEE
237,CHATHAM COUNTY,CHATHAM,GEORGIA
238,PUTNAM COUNTY,PUTNAM,WEST VIRGINIA
239,FRANKLIN COUNTY,FRANKLIN,TENNESSEE
240,DEKALB COUNTY,DEKALB,TENNESSEE
241,WARREN COUNTY,WARREN,TENNESSEE
242,WHITE COUNTY,WHITE,TENNESSEE
243,CHESTER COUNTY,CHESTER,TENNESSEE
244,RHEA COUNTY,RHEA,TENNESSEE
245,BEDFORD COUNTY,BEDFORD,TENNESSEE
246,LINCOLN COUNTY,LINCOLN,TENNESSEE
247,CHEATHAM COUNTY,CHEATHAM,TENNESSEE
248,CLAIBORNE COUNTY,CLAIBORNE,TENNESSEE
249,WAYNE COUNTY,WAYNE,TENNESSEE
250,HICKMAN COUNTY,HICKMAN,TENNESSEE
251,MORGAN COUNTY,MORGAN,TENNESSEE
252,BLEDSOE COUNTY,BLEDSOE,TENNESSEE
253,PERRY COUNTY,PERRY,TENNESSEE
254,SCOTT COUNTY,SCOTT,TENNESSEE
255,DECATUR COUNTY,DECATUR,TENNESSEE
256,UNION COUNTY,UNION,TENNESSEE
257,STEWART COUNTY,STEWART,TENNESSEE
258,SEVIER COUNTY,SEVIER,TENNESSEE
259,MADISON COUNTY,MADISON,TENNESSEE
260,OBION COUNTY,OBION,TENNESSEE
261,BRADLEY COUNTY,BRADLEY,TENNESSEE
262,SUMNER COUNTY,SUMNER,TENNESSEE
263,TIPTON COUNTY,TIPTON,TENNESSEE
264,JACKSON COUNTY,JACKSON,TENNESSEE
265,RUTHERFORD COUNTY,RUTHERFORD,TENNESSEE
266,WILLIAMSON COUNTY,WILLIAMSON,TENNESSEE
267,HAYWOOD COUNTY,HAYWOOD,TENNESSEE
268,LEWIS COUNTY,LEWIS,TENNESSEE
269,WILSON COUNTY,WILSON,TENNESSEE
270,DICKSON COUNTY,DICKSON,TENNESSEE
271,TAYLOR COUNTY,TAYLOR,IOWA
272,HUMPHREYS COUNTY,HUMPHREYS,TENNESSEE
273,HENDERSON COUNTY,HENDERSON,TENNESSEE
274,BERKSHIRE COUNTY,PITTSFIELD,MASSACHUSETTS
275,BRISTOL COUNTY,ATTLEBORO,MASSACHUSETTS
276,BRISTOL COUNTY,FALL RIVER,MASSACHUSETTS
277,BRISTOL COUNTY,NEW BEDFORD,MASSACHUSETTS
278,BRISTOL COUNTY,TAUNTON,MASSACHUSETTS
279,HAMPDEN COUNTY,HOLYOKE,MASSACHUSETTS
280,HAMPDEN COUNTY,SPRINGFIELD,MASSACHUSETTS
281,HAMPDEN COUNTY,WESTFIELD,MASSACHUSETTS
282,HAMPSHIRE COUNTY,NORTHAMPTON,MASSACHUSETTS
283,FRANKLIN COUNTY,FRANKLIN COUNTY,ARKANSAS
284,HAMPDEN COUNTY,CHICOPEE,MASSACHUSETTS
285,LARAMIE COUNTY,LARAMIE,WYOMING
286,NEW CASTLE COUNTY,NEW CASTLE,DELAWARE
287,MAUI COUNTY,MAUI,HAWAII
288,HAWAII COUNTY,HAWAII,HAWAII
289,MARION COUNTY,MARION,INDIANA
290,VALLEY COUNTY,VALLEY,MONTANA
291,BAXTER COUNTY,BAXTER COUNTY,ARKANSAS
292,SANDERS COUNTY,SANDERS,MONTANA
293,BUTLER COUNTY,BUTLER,IOWA
294,BUFFALO COUNTY,BUFFALO,NEBRASKA
295,ADAMS COUNTY,ADAMS,PENNSYLVANIA
296,ARMSTRONG COUNTY,ARMSTRONG,PENNSYLVANIA
297,BEDFORD COUNTY,BEDFORD,PENNSYLVANIA
298,BERKS COUNTY,BERKS,PENNSYLVANIA
299,BRADFORD COUNTY,BRADFORD,PENNSYLVANIA
300,BUCKS COUNTY,BUCKS,PENNSYLVANIA
301,BUTLER COUNTY,BUTLER,PENNSYLVANIA
302,CAMERON COUNTY,CAMERON,PENNSYLVANIA
303,CARBON COUNTY,CARBON,PENNSYLVANIA
304,CHESTER COUNTY,CHESTER,PENNSYLVANIA
305,CLARION COUNTY,CLARION,PENNSYLVANIA
306,CLEARFIELD COUNTY,CLEARFIELD,PENNSYLVANIA
307,CLINTON COUNTY,CLINTON,PENNSYLVANIA
308,CRAWFORD COUNTY,CRAWFORD,PENNSYLVANIA
309,CUMBERLAND COUNTY,CUMBERLAND,PENNSYLVANIA
310,DAVIDSON COUNTY,DAVIDSON,NORTH CAROLINA
311,DELAWARE COUNTY,DELAWARE,PENNSYLVANIA
312,DISTRICT OF COLUMBIA,WARD 4,DISTRICT OF COLUMBIA
313,ERIE COUNTY,ERIE,PENNSYLVANIA
314,FAYETTE COUNTY,FAYETTE,WEST VIRGINIA
315,FOREST COUNTY,FOREST,PENNSYLVANIA
316,FRANKLIN COUNTY,FRANKLIN,PENNSYLVANIA
317,FULTON COUNTY,FULTON,PENNSYLVANIA
318,GREENE COUNTY,GREENE,PENNSYLVANIA
319,HUNTINGDON COUNTY,HUNTINGDON,PENNSYLVANIA
320,JEFFERSON COUNTY,JEFFERSON,PENNSYLVANIA
321,JUNIATA COUNTY,JUNIATA,PENNSYLVANIA
322,LANCASTER COUNTY,LANCASTER,PENNSYLVANIA
323,LEBANON COUNTY,LEBANON,PENNSYLVANIA
324,LEHIGH COUNTY,LEHIGH,PENNSYLVANIA
325,LUZERNE COUNTY,LUZERNE,PENNSYLVANIA
326,LYCOMING COUNTY,LYCOMING,PENNSYLVANIA
327,MERCER COUNTY,MERCER,PENNSYLVANIA
328,MERCER COUNTY,MERCER,WEST VIRGINIA
329,MIFFLIN COUNTY,MIFFLIN,PENNSYLVANIA
330,MODOC COUNTY,MODOC,CALIFORNIA
331,MONROE COUNTY,MONROE,PENNSYLVANIA
332,MONTOUR COUNTY,MONTOUR,PENNSYLVANIA
333,NORTHUMBERLAND COUNTY,NORTHUMBERLAND,PENNSYLVANIA
334,OHIO COUNTY,OHIO,WEST VIRGINIA
335,PERRY COUNTY,PERRY,PENNSYLVANIA
336,POTTER COUNTY,POTTER,PENNSYLVANIA
337,SCHUYLKILL COUNTY,SCHUYLKILL,PENNSYLVANIA
338,SNYDER COUNTY,SNYDER,PENNSYLVANIA
339,SOMERSET COUNTY,SOMERSET,PENNSYLVANIA
340,SULLIVAN COUNTY,SULLIVAN,PENNSYLVANIA
341,SUSQUEHANNA COUNTY,SUSQUEHANNA,PENNSYLVANIA
342,TIOGA COUNTY,TIOGA,PENNSYLVANIA
343,UNION COUNTY,UNION,PENNSYLVANIA
344,WARREN COUNTY,WARREN,PENNSYLVANIA
345,WAYNE COUNTY,WAYNE,PENNSYLVANIA
346,WESTMORELAND COUNTY,WESTMORELAND,PENNSYLVANIA
347,WOOD COUNTY,WOOD,WEST VIRGINIA
348,WYOMING COUNTY,WYOMING,PENNSYLVANIA
349,YORK COUNTY,YORK,PENNSYLVANIA
350,DELAWARE COUNTY,DELAWARE,INDIANA
351,KNOX COUNTY,KNOX,TENNESSEE
352,BOISE COUNTY,BOISE,IDAHO
353,AUTAUGA COUNTY,AUTAUGA,ALABAMA
354,CANYON COUNTY,CANYON,IDAHO
355,LAPORTE COUNTY,LA PORTE,INDIANA
356,KOSCIUSKO COUNTY,KOSCIUSKO,INDIANA
357,BUNCOMBE COUNTY,BUNCOMBE,NORTH CAROLINA
358,BEAVER COUNTY,BEAVER,PENNSYLVANIA
359,BLAIR COUNTY,BLAIR,PENNSYLVANIA
360,CLAY COUNTY,CLAY,FLORIDA
361,COLUMBIA COUNTY,COLUMBIA,PENNSYLVANIA
362,DAUPHIN COUNTY,DAUPHIN,PENNSYLVANIA
363,FAYETTE COUNTY,FAYETTE,PENNSYLVANIA
364,INDIANA COUNTY,INDIANA,PENNSYLVANIA
365,LACKAWANNA COUNTY,LACKAWANNA,PENNSYLVANIA
366,MONTGOMERY COUNTY,MONTGOMERY,PENNSYLVANIA
367,PINELLAS COUNTY,PINELLAS,FLORIDA
368,WASHINGTON COUNTY,WASHINGTON,PENNSYLVANIA
370,PAYNE COUNTY,PAYNE,OKLAHOMA
371,BLAINE COUNTY,BLAINE,OKLAHOMA
372,PALM BEACH COUNTY,PALM BEACH,FLORIDA
373,CHEMUNG COUNTY,CHEMUNG,NEW YORK
374,DAVIDSON COUNTY,DAVIDSON,TENNESSEE
375,DUVAL COUNTY,DUVAL,FLORIDA
376,FORSYTH COUNTY,FORSYTH,NORTH CAROLINA
377,ORANGE COUNTY,ORANGE,FLORIDA
378,RICHMOND COUNTY,RICHMOND,GEORGIA
379,SEDGWICK COUNTY,SEDGWICK,KANSAS
381,ACCOMACK COUNTY,ACCOMACK COUNTY,VIRGINIA
382,MECKLENBURG COUNTY,MECKLENBURG COUNTY,VIRGINIA
383,FAIRFAX COUNTY,FAIRFAX COUNTY,VIRGINIA
384,HALIFAX COUNTY,HALIFAX COUNTY,VIRGINIA
385,SUSSEX COUNTY,SUSSEX COUNTY,VIRGINIA
386,FRANKLIN COUNTY,FRANKLIN COUNTY,VIRGINIA
387,LOUISA COUNTY,LOUISA COUNTY,VIRGINIA
388,WASHINGTON COUNTY,WASHINGTON COUNTY,VIRGINIA
389,CAROLINE COUNTY,CAROLINE COUNTY,VIRGINIA
390,SCOTT COUNTY,SCOTT COUNTY,VIRGINIA
391,BUCHANAN COUNTY,BUCHANAN COUNTY,VIRGINIA
392,SOUTHAMPTON COUNTY,SOUTHAMPTON COUNTY,VIRGINIA
393,ALBEMARLE COUNTY,ALBEMARLE COUNTY,VIRGINIA
394,PRINCE WILLIAM COUNTY,PRINCE WILLIAM COUNTY,VIRGINIA
395,ALLEGHANY COUNTY,ALLEGHANY COUNTY,VIRGINIA
396,EMPORIA CITY,EMPORIA CITY,VIRGINIA
397,RUSSELL COUNTY,RUSSELL COUNTY,VIRGINIA
398,STAFFORD COUNTY,STAFFORD COUNTY,VIRGINIA
399,HENRY COUNTY,HENRY COUNTY,VIRGINIA
400,LUNENBURG COUNTY,LUNENBURG COUNTY,VIRGINIA
401,WYTHE COUNTY,WYTHE COUNTY,VIRGINIA
402,CAMPBELL COUNTY,CAMPBELL COUNTY,VIRGINIA
403,SUFFOLK CITY,SUFFOLK CITY,VIRGINIA
404,FREDERICK COUNTY,FREDERICK COUNTY,VIRGINIA
405,CULPEPER COUNTY,CULPEPER COUNTY,VIRGINIA
406,BEDFORD COUNTY,BEDFORD COUNTY,VIRGINIA
407,FRANKLIN CITY,FRANKLIN CITY,VIRGINIA
408,MONTGOMERY COUNTY,MONTGOMERY COUNTY,VIRGINIA
409,PRINCE EDWARD COUNTY,PRINCE EDWARD COUNTY,VIRGINIA
410,SMYTH COUNTY,SMYTH COUNTY,VIRGINIA
411,SPOTSYLVANIA COUNTY,SPOTSYLVANIA COUNTY,VIRGINIA
412,AUGUSTA COUNTY,AUGUSTA COUNTY,VIRGINIA
413,PETERSBURG CITY,PETERSBURG CITY,VIRGINIA
414,BUCKINGHAM COUNTY,BUCKINGHAM COUNTY,VIRGINIA
415,SHENANDOAH COUNTY,SHENANDOAH COUNTY,VIRGINIA
416,HANOVER COUNTY,HANOVER COUNTY,VIRGINIA
417,HOPEWELL CITY,HOPEWELL CITY,VIRGINIA
418,HAMILTON COUNTY,HAMILTON,INDIANA
419,VOLUSIA COUNTY,VOLUSIA,FLORIDA
420,CHARLOTTE COUNTY,CHARLOTTE COUNTY,VIRGINIA
421,RICHMOND CITY,RICHMOND CITY,VIRGINIA
422,PITTSYLVANIA COUNTY,PITTSYLVANIA COUNTY,VIRGINIA
423,CLARK COUNTY,CLARK,NEVADA
424,DOUGLAS COUNTY,DOUGLAS,COLORADO
425,GARLAND COUNTY,GARLAND COUNTY,ARKANSAS
426,HOKE COUNTY,HOKE,NORTH CAROLINA
427,MONONGALIA COUNTY,MONONGALIA,WEST VIRGINIA
429,WASHOE COUNTY,WASHOE,NEVADA
430,CAMERON COUNTY,CAMERON,TEXAS
431,PITTSBURG COUNTY,PITTSBURG,OKLAHOMA
433,MARIN COUNTY,MARIN,CALIFORNIA
434,MARION COUNTY,MARION,OREGON
435,LOUDOUN COUNTY,LOUDOUN COUNTY,VIRGINIA
436,PLACER COUNTY,PLACER,CALIFORNIA
437,SHAWNEE COUNTY,SHAWNEE,KANSAS
438,LAWRENCE COUNTY,LAWRENCE,PENNSYLVANIA
439,PONTOTOC COUNTY,PONTOTOC,OKLAHOMA
440,ADAMS COUNTY,ADAMS,COLORADO
441,ARAPAHOE COUNTY,ARAPAHOE,COLORADO
442,GREENBRIER COUNTY,GREENBRIER,WEST VIRGINIA
443,POTTAWATOMIE COUNTY,POTTAWATOMIE,OKLAHOMA
444,CAMP COUNTY,CAMP,TEXAS
445,PUSHMATAHA COUNTY,PUSHMATAHA,OKLAHOMA
446,SAN JOAQUIN COUNTY,SAN JOAQUIN,CALIFORNIA
447,MCKEAN COUNTY,MCKEAN,PENNSYLVANIA
448,PIKE COUNTY,PIKE,PENNSYLVANIA
449,CARSON COUNTY,CARSON,TEXAS
450,ROGER MILLS COUNTY,ROGER MILLS,OKLAHOMA
451,TAZEWELL COUNTY,TAZEWELL COUNTY,VIRGINIA
452,ROANOKE COUNTY,ROANOKE COUNTY,VIRGINIA
453,MONTGOMERY COUNTY,MONTGOMERY,ALABAMA
454,JEFFERSON COUNTY,JEFFERSON,ALABAMA
455,TEHAMA COUNTY,TEHAMA,CALIFORNIA
456,ALAMEDA COUNTY,ALAMEDA,CALIFORNIA
457,LUBBOCK COUNTY,LUBBOCK,TEXAS
458,KERN COUNTY,KERN,CALIFORNIA
459,PUEBLO COUNTY,PUEBLO,COLORADO
460,BREVARD COUNTY,BREVARD,FLORIDA
461,KANAWHA COUNTY,KANAWHA,WEST VIRGINIA
462,KINGS COUNTY,KINGS,CALIFORNIA
463,OSCEOLA COUNTY,OSCEOLA,FLORIDA
464,POLK COUNTY,POLK,FLORIDA
465,SAN LUIS OBISPO COUNTY,SAN LUIS OBISPO,CALIFORNIA
466,ST. JOHNS COUNTY,ST. JOHNS,FLORIDA
467,WARE COUNTY,WARE,GEORGIA
468,WASHINGTON COUNTY,WASHINGTON,OREGON
469,WYOMING COUNTY,WYOMING,WEST VIRGINIA
471,NEWPORT NEWS CITY,NEWPORT NEWS CITY,VIRGINIA
472,NORFOLK CITY,NORFOLK CITY,VIRGINIA
473,ROCKINGHAM COUNTY,ROCKINGHAM COUNTY,VIRGINIA
474,HENRICO COUNTY,HENRICO COUNTY,VIRGINIA
475,JAMES CITY COUNTY,JAMES CITY COUNTY,VIRGINIA
476,ALEXANDRIA CITY,ALEXANDRIA CITY,VIRGINIA
477,BRUNSWICK COUNTY,BRUNSWICK COUNTY,VIRGINIA
478,PULASKI COUNTY,PULASKI COUNTY,VIRGINIA
479,LYNCHBURG CITY,LYNCHBURG CITY,VIRGINIA
480,CHESTERFIELD COUNTY,CHESTERFIELD COUNTY,VIRGINIA
481,MONTEREY COUNTY,MONTEREY,CALIFORNIA
482,CITRUS COUNTY,CITRUS,FLORIDA
483,MANATEE COUNTY,MANATEE,FLORIDA
485,SARASOTA COUNTY,SARASOTA,FLORIDA
486,LYNN COUNTY,LYNN,TEXAS
487,SAN DIEGO COUNTY,SAN DIEGO,CALIFORNIA
488,EAGLE COUNTY,EAGLE,COLORADO
489,DELTA COUNTY,DELTA,COLORADO
490,GUNNISON COUNTY,GUNNISON,COLORADO
491,HINSDALE COUNTY,HINSDALE,COLORADO
492,LAKE COUNTY,LAKE,COLORADO
493,PITKIN COUNTY,PITKIN,COLORADO
