,county,jurisdiction,state
71,JEFFERSON COUNTY,JEFFERSON COUNTY,ARKANSAS
72,JEFFERSON COUNTY,JEFFERSON,FLORIDA
73,KOOTENAI COUNTY,KOOTENAI,IDAHO
74,LAKE COUNTY,LAKE,FLORIDA
76,LEE COUNTY,LEE,FLORIDA
77,LEVY COUNTY,LEVY,FLORIDA
78,LIBERTY COUNTY,LIBERTY,FLORIDA
80,MADISON COUNTY,MADISON,FLORIDA
81,MARION COUNTY,MARION,FLORIDA
82,MARTIN COUNTY,MARTIN,FLORIDA
86,MIDDLESEX COUNTY,ACTON,MASSACHUSETTS
87,MIDDLESEX COUNTY,ARLINGTON,MASSACHUSETTS
88,MIDDLESEX COUNTY,BELMONT,MASSACHUSETTS
89,MIDDLESEX COUNTY,BILLERICA,MASSACHUSETTS
90,MIDDLESEX COUNTY,BURLINGTON,MASSACHUSETTS
91,MIDDLESEX COUNTY,CHELMSFORD,MASSACHUSETTS
92,MIDDLESEX COUNTY,DRACUT,MASSACHUSETTS
93,MIDDLESEX COUNTY,FRAMINGHAM,MASSACHUSETTS
94,MIDDLESEX COUNTY,HUDSON,MASSACHUSETTS
95,MIDDLESEX COUNTY,LEXINGTON,MASSACHUSETTS
96,MIDDLESEX COUNTY,NATICK,MASSACHUSETTS
97,MIDDLESEX COUNTY,READING,MASSACHUSETTS
98,MIDDLESEX COUNTY,STONEHAM,MASSACHUSETTS
99,MIDDLESEX COUNTY,WAKEFIELD,MASSACHUSETTS
100,MIDDLESEX COUNTY,WATERTOWN,MASSACHUSETTS
101,MIDDLESEX COUNTY,WESTFORD,MASSACHUSETTS
102,MIDDLESEX COUNTY,WILMINGTON,MASSACHUSETTS
103,MIDDLESEX COUNTY,WINCHESTER,MASSACHUSETTS
105,MONO COUNTY,MONO,CALIFORNIA
106,MONROE COUNTY,MONROE,FLORIDA
107,NORFOLK COUNTY,CANTON,MASSACHUSETTS
108,NORFOLK COUNTY,FRANKLIN,MASSACHUSETTS
109,NORFOLK COUNTY,RANDOLPH,MASSACHUSETTS
110,OKALOOSA COUNTY,OKALOOSA,FLORIDA
111,OKEECHOBEE COUNTY,OKEECHOBEE,FLORIDA
112,ONEIDA COUNTY,ONEIDA,IDAHO
113,PASCO COUNTY,PASCO,FLORIDA
114,PAYETTE COUNTY,PAYETTE,IDAHO
116,PIMA COUNTY,PIMA,ARIZONA
117,PLUMAS COUNTY,PLUMAS,CALIFORNIA
118,POWER COUNTY,POWER,IDAHO
119,PULASKI COUNTY,PULASKI COUNTY,ARKANSAS
120,PUTNAM COUNTY,PUTNAM,FLORIDA
122,SANTA ROSA COUNTY,SANTA ROSA,FLORIDA
123,SEMINOLE COUNTY,SEMINOLE,FLORIDA
124,SIERRA COUNTY,SIERRA,CALIFORNIA
126,ST. LUCIE COUNTY,ST. LUCIE,FLORIDA
127,SUTTER COUNTY,SUTTER,CALIFORNIA
128,SUWANNEE COUNTY,SUWANNEE,FLORIDA
129,TAYLOR COUNTY,TAYLOR,FLORIDA
130,TETON COUNTY,TETON,IDAHO
133,WAKULLA COUNTY,WAKULLA,FLORIDA
135,WASHINGTON COUNTY,WASHINGTON,FLORIDA
136,YUMA COUNTY,YUMA,ARIZONA
137,LANCASTER COUNTY,LANCASTER,NEBRASKA
138,HAWKINS COUNTY,HAWKINS,TENNESSEE
139,BENTON COUNTY,BENTON,TENNESSEE
140,GOODING COUNTY,GOODING,IDAHO
141,CUMBERLAND COUNTY,CUMBERLAND,TENNESSEE
142,BONNER COUNTY,BONNER,IDAHO
143,SEQUATCHIE COUNTY,SEQUATCHIE,TENNESSEE
144,WOODBURY COUNTY,WOODBURY,IOWA
145,CLEARWATER COUNTY,CLEARWATER,IDAHO
146,GIBSON COUNTY,GIBSON,TENNESSEE
147,LINCOLN COUNTY,LINCOLN,IDAHO
148,JEFFERSON COUNTY,JEFFERSON,IDAHO
149,GREENE COUNTY,GREENE,TENNESSEE
150,JEROME COUNTY,JEROME,IDAHO
151,MARSHALL COUNTY,MARSHALL,TENNESSEE
152,MINIDOKA COUNTY,MINIDOKA,IDAHO
153,SHERIDAN COUNTY,SHERIDAN,MONTANA
154,BENEWAH COUNTY,BENEWAH,IDAHO
155,JEFFERSON COUNTY,JEFFERSON,TENNESSEE
156,JOHNSON COUNTY,JOHNSON,TENNESSEE
157,COFFEE COUNTY,COFFEE,TENNESSEE
158,CHATHAM COUNTY,CHATHAM,GEORGIA
159,FRANKLIN COUNTY,FRANKLIN,TENNESSEE
160,DEKALB COUNTY,DEKALB,TENNESSEE
161,WARREN COUNTY,WARREN,TENNESSEE
162,WHITE COUNTY,WHITE,TENNESSEE
163,CHESTER COUNTY,CHESTER,TENNESSEE
164,RHEA COUNTY,RHEA,TENNESSEE
165,BEDFORD COUNTY,BEDFORD,TENNESSEE
166,LINCOLN COUNTY,LINCOLN,TENNESSEE
167,CHEATHAM COUNTY,CHEATHAM,TENNESSEE
168,CLAIBORNE COUNTY,CLAIBORNE,TENNESSEE
169,WAYNE COUNTY,WAYNE,TENNESSEE
170,HICKMAN COUNTY,HICKMAN,TENNESSEE
171,MORGAN COUNTY,MORGAN,TENNESSEE
172,BLEDSOE COUNTY,BLEDSOE,TENNESSEE
173,PERRY COUNTY,PERRY,TENNESSEE
174,SCOTT COUNTY,SCOTT,TENNESSEE
175,DECATUR COUNTY,DECATUR,TENNESSEE
176,UNION COUNTY,UNION,TENNESSEE
177,STEWART COUNTY,STEWART,TENNESSEE
178,SEVIER COUNTY,SEVIER,TENNESSEE
179,MADISON COUNTY,MADISON,TENNESSEE
180,OBION COUNTY,OBION,TENNESSEE
181,BRADLEY COUNTY,BRADLEY,TENNESSEE
182,SUMNER COUNTY,SUMNER,TENNESSEE
183,TIPTON COUNTY,TIPTON,TENNESSEE
184,MIAMI-DADE COUNTY,MIAMI-DADE,FLORIDA
185,JACKSON COUNTY,JACKSON,TENNESSEE
186,RUTHERFORD COUNTY,RUTHERFORD,TENNESSEE
187,WILLIAMSON COUNTY,WILLIAMSON,TENNESSEE
188,LOUDOUN COUNTY,LOUDOUN COUNTY,VIRGINIA
189,HAYWOOD COUNTY,HAYWOOD,TENNESSEE
190,FAIRFAX COUNTY,FAIRFAX COUNTY,VIRGINIA
191,NEWPORT NEWS CITY,NEWPORT NEWS CITY,VIRGINIA
192,HENRICO COUNTY,HENRICO COUNTY,VIRGINIA
193,ALLEN COUNTY,ALLEN,INDIANA
194,HAMILTON COUNTY,HAMILTON,INDIANA
195,ALLEGHENY COUNTY,ALLEGHENY,PENNSYLVANIA
196,DELAWARE COUNTY,DELAWARE,PENNSYLVANIA
197,LUZERNE COUNTY,LUZERNE,PENNSYLVANIA
198,MONTGOMERY COUNTY,MONTGOMERY,PENNSYLVANIA
199,PALM BEACH COUNTY,PALM BEACH,FLORIDA
200,PHILADELPHIA COUNTY,PHILADELPHIA,PENNSYLVANIA
201,VENTURA COUNTY,VENTURA,CALIFORNIA
202,JEFFERSON COUNTY,JEFFERSON,ALABAMA
203,RIVERSIDE COUNTY,RIVERSIDE,CALIFORNIA
204,SAN DIEGO COUNTY,SAN DIEGO,CALIFORNIA
205,MARION COUNTY,MARION,TEXAS
206,LOS ANGELES COUNTY,LOS ANGELES,CALIFORNIA
207,CLARK COUNTY,CLARK,NEVADA
208,SANTA CRUZ COUNTY,SANTA CRUZ,CALIFORNIA
209,SACRAMENTO COUNTY,SACRAMENTO,CALIFORNIA
210,NAPA COUNTY,NAPA,CALIFORNIA
212,BREVARD COUNTY,BREVARD,FLORIDA
214,ORANGE COUNTY,ORANGE,FLORIDA
215,PINELLAS COUNTY,PINELLAS,FLORIDA
216,POLK COUNTY,POLK,FLORIDA
217,SAN LUIS OBISPO COUNTY,SAN LUIS OBISPO,CALIFORNIA
218,SEDGWICK COUNTY,SEDGWICK,KANSAS
219,CHESTERFIELD COUNTY,CHESTERFIELD COUNTY,VIRGINIA
220,MONTEREY COUNTY,MONTEREY,CALIFORNIA
221,ORANGE COUNTY,ORANGE,CALIFORNIA
222,LEWIS COUNTY,LEWIS,TENNESSEE
223,WILSON COUNTY,WILSON,TENNESSEE
224,DICKSON COUNTY,DICKSON,TENNESSEE
225,KERN COUNTY,KERN,CALIFORNIA
226,COLLIER COUNTY,COLLIER,FLORIDA
227,HILLSBOROUGH COUNTY,HILLSBOROUGH,FLORIDA
228,MANATEE COUNTY,MANATEE,FLORIDA
229,SARASOTA COUNTY,SARASOTA,FLORIDA
231,MARTIN COUNTY,MARTIN,TEXAS
232,TAYLOR COUNTY,TAYLOR,IOWA
233,HUMPHREYS COUNTY,HUMPHREYS,TENNESSEE
234,HENDERSON COUNTY,HENDERSON,TENNESSEE
235,BERKSHIRE COUNTY,PITTSFIELD,MASSACHUSETTS
236,BRISTOL COUNTY,ATTLEBORO,MASSACHUSETTS
237,BRISTOL COUNTY,FALL RIVER,MASSACHUSETTS
238,BRISTOL COUNTY,NEW BEDFORD,MASSACHUSETTS
239,BRISTOL COUNTY,TAUNTON,MASSACHUSETTS
240,HAMPDEN COUNTY,HOLYOKE,MASSACHUSETTS
241,HAMPDEN COUNTY,SPRINGFIELD,MASSACHUSETTS
242,HAMPDEN COUNTY,WESTFIELD,MASSACHUSETTS
243,HAMPSHIRE COUNTY,NORTHAMPTON,MASSACHUSETTS
244,FRANKLIN COUNTY,FRANKLIN COUNTY,ARKANSAS
245,HAMPDEN COUNTY,CHICOPEE,MASSACHUSETTS
246,NEW CASTLE COUNTY,NEW CASTLE,DELAWARE
247,MAUI COUNTY,MAUI,HAWAII
248,HAWAII COUNTY,HAWAII,HAWAII
249,MARION COUNTY,MARION,INDIANA
250,VALLEY COUNTY,VALLEY,MONTANA
251,BAXTER COUNTY,BAXTER COUNTY,ARKANSAS
252,SANDERS COUNTY,SANDERS,MONTANA
253,BUTLER COUNTY,BUTLER,IOWA
254,BUFFALO COUNTY,BUFFALO,NEBRASKA
255,ADAMS COUNTY,ADAMS,PENNSYLVANIA
256,ARMSTRONG COUNTY,ARMSTRONG,PENNSYLVANIA
257,BEDFORD COUNTY,BEDFORD,PENNSYLVANIA
258,BERKS COUNTY,BERKS,PENNSYLVANIA
259,BRADFORD COUNTY,BRADFORD,PENNSYLVANIA
260,BUCKS COUNTY,BUCKS,PENNSYLVANIA
261,BUTLER COUNTY,BUTLER,PENNSYLVANIA
262,CAMBRIA COUNTY,CAMBRIA,PENNSYLVANIA
263,CAMERON COUNTY,CAMERON,PENNSYLVANIA
264,CARBON COUNTY,CARBON,PENNSYLVANIA
265,CENTRE COUNTY,CENTRE,PENNSYLVANIA
266,CHESTER COUNTY,CHESTER,PENNSYLVANIA
267,CLARION COUNTY,CLARION,PENNSYLVANIA
268,CLEARFIELD COUNTY,CLEARFIELD,PENNSYLVANIA
269,CLINTON COUNTY,CLINTON,PENNSYLVANIA
270,CRAWFORD COUNTY,CRAWFORD,PENNSYLVANIA
271,CUMBERLAND COUNTY,CUMBERLAND,PENNSYLVANIA
272,DAVIDSON COUNTY,DAVIDSON,NORTH CAROLINA
273,DISTRICT OF COLUMBIA,WARD 4,DISTRICT OF COLUMBIA
274,ERIE COUNTY,ERIE,PENNSYLVANIA
275,FOREST COUNTY,FOREST,PENNSYLVANIA
276,FRANKLIN COUNTY,FRANKLIN,PENNSYLVANIA
277,FULTON COUNTY,FULTON,PENNSYLVANIA
278,GREENE COUNTY,GREENE,PENNSYLVANIA
279,HUNTINGDON COUNTY,HUNTINGDON,PENNSYLVANIA
280,JEFFERSON COUNTY,JEFFERSON,PENNSYLVANIA
281,JUNIATA COUNTY,JUNIATA,PENNSYLVANIA
282,LANCASTER COUNTY,LANCASTER,PENNSYLVANIA
283,LEBANON COUNTY,LEBANON,PENNSYLVANIA
284,LEHIGH COUNTY,LEHIGH,PENNSYLVANIA
285,LYCOMING COUNTY,LYCOMING,PENNSYLVANIA
286,MERCER COUNTY,MERCER,PENNSYLVANIA
287,MIFFLIN COUNTY,MIFFLIN,PENNSYLVANIA
288,MODOC COUNTY,MODOC,CALIFORNIA
289,MONROE COUNTY,MONROE,PENNSYLVANIA
290,MONTOUR COUNTY,MONTOUR,PENNSYLVANIA
291,NORTHAMPTON COUNTY,NORTHAMPTON,PENNSYLVANIA
292,NORTHUMBERLAND COUNTY,NORTHUMBERLAND,PENNSYLVANIA
293,PERRY COUNTY,PERRY,PENNSYLVANIA
294,POTTER COUNTY,POTTER,PENNSYLVANIA
295,MASON COUNTY,MASON,TEXAS
296,SCHUYLKILL COUNTY,SCHUYLKILL,PENNSYLVANIA
297,SHASTA COUNTY,SHASTA,CALIFORNIA
298,SNYDER COUNTY,SNYDER,PENNSYLVANIA
299,SOMERSET COUNTY,SOMERSET,PENNSYLVANIA
300,SULLIVAN COUNTY,SULLIVAN,PENNSYLVANIA
301,SUSQUEHANNA COUNTY,SUSQUEHANNA,PENNSYLVANIA
302,TIOGA COUNTY,TIOGA,PENNSYLVANIA
303,UNION COUNTY,UNION,PENNSYLVANIA
304,VENANGO COUNTY,VENANGO,PENNSYLVANIA
305,WARREN COUNTY,WARREN,PENNSYLVANIA
306,WAYNE COUNTY,WAYNE,PENNSYLVANIA
307,WESTMORELAND COUNTY,WESTMORELAND,PENNSYLVANIA
308,WYOMING COUNTY,WYOMING,PENNSYLVANIA
309,YORK COUNTY,YORK,PENNSYLVANIA
310,DELAWARE COUNTY,DELAWARE,INDIANA
311,KNOX COUNTY,KNOX,TENNESSEE
312,BOISE COUNTY,BOISE,IDAHO
313,AUTAUGA COUNTY,AUTAUGA,ALABAMA
314,CANYON COUNTY,CANYON,IDAHO
315,LAPORTE COUNTY,LA PORTE,INDIANA
316,KOSCIUSKO COUNTY,KOSCIUSKO,INDIANA
317,BUNCOMBE COUNTY,BUNCOMBE,NORTH CAROLINA
318,BEAVER COUNTY,BEAVER,PENNSYLVANIA
319,BLAIR COUNTY,BLAIR,PENNSYLVANIA
321,CLAY COUNTY,CLAY,FLORIDA
322,COLUMBIA COUNTY,COLUMBIA,PENNSYLVANIA
323,DAUPHIN COUNTY,DAUPHIN,PENNSYLVANIA
324,FAYETTE COUNTY,FAYETTE,PENNSYLVANIA
325,INDIANA COUNTY,INDIANA,PENNSYLVANIA
326,LACKAWANNA COUNTY,LACKAWANNA,PENNSYLVANIA
327,WASHINGTON COUNTY,WASHINGTON,PENNSYLVANIA
329,SANTA CLARA COUNTY,SANTA CLARA,CALIFORNIA
330,DAVIDSON COUNTY,DAVIDSON,TENNESSEE
331,DUVAL COUNTY,DUVAL,FLORIDA
332,FORSYTH COUNTY,FORSYTH,NORTH CAROLINA
333,RICHMOND COUNTY,RICHMOND,GEORGIA
335,ACCOMACK COUNTY,ACCOMACK COUNTY,VIRGINIA
336,MECKLENBURG COUNTY,MECKLENBURG COUNTY,VIRGINIA
337,HALIFAX COUNTY,HALIFAX COUNTY,VIRGINIA
338,SUSSEX COUNTY,SUSSEX COUNTY,VIRGINIA
339,FRANKLIN COUNTY,FRANKLIN COUNTY,VIRGINIA
340,LOUISA COUNTY,LOUISA COUNTY,VIRGINIA
341,WASHINGTON COUNTY,WASHINGTON COUNTY,VIRGINIA
342,CAROLINE COUNTY,CAROLINE COUNTY,VIRGINIA
343,SCOTT COUNTY,SCOTT COUNTY,VIRGINIA
344,BUCHANAN COUNTY,BUCHANAN COUNTY,VIRGINIA
345,SOUTHAMPTON COUNTY,SOUTHAMPTON COUNTY,VIRGINIA
346,ALBEMARLE COUNTY,ALBEMARLE COUNTY,VIRGINIA
347,PRINCE WILLIAM COUNTY,PRINCE WILLIAM COUNTY,VIRGINIA
348,ALLEGHANY COUNTY,ALLEGHANY COUNTY,VIRGINIA
349,EMPORIA CITY,EMPORIA CITY,VIRGINIA
350,RUSSELL COUNTY,RUSSELL COUNTY,VIRGINIA
351,STAFFORD COUNTY,STAFFORD COUNTY,VIRGINIA
352,HENRY COUNTY,HENRY COUNTY,VIRGINIA
353,LUNENBURG COUNTY,LUNENBURG COUNTY,VIRGINIA
354,WYTHE COUNTY,WYTHE COUNTY,VIRGINIA
355,CAMPBELL COUNTY,CAMPBELL COUNTY,VIRGINIA
356,SUFFOLK CITY,SUFFOLK CITY,VIRGINIA
357,FREDERICK COUNTY,FREDERICK COUNTY,VIRGINIA
358,CULPEPER COUNTY,CULPEPER COUNTY,VIRGINIA
359,BEDFORD COUNTY,BEDFORD COUNTY,VIRGINIA
360,FRANKLIN CITY,FRANKLIN CITY,VIRGINIA
361,MONTGOMERY COUNTY,MONTGOMERY COUNTY,VIRGINIA
362,PRINCE EDWARD COUNTY,PRINCE EDWARD COUNTY,VIRGINIA
363,SMYTH COUNTY,SMYTH COUNTY,VIRGINIA
364,SPOTSYLVANIA COUNTY,SPOTSYLVANIA COUNTY,VIRGINIA
365,AUGUSTA COUNTY,AUGUSTA COUNTY,VIRGINIA
366,PETERSBURG CITY,PETERSBURG CITY,VIRGINIA
367,BUCKINGHAM COUNTY,BUCKINGHAM COUNTY,VIRGINIA
368,SHENANDOAH COUNTY,SHENANDOAH COUNTY,VIRGINIA
369,HANOVER COUNTY,HANOVER COUNTY,VIRGINIA
370,HOPEWELL CITY,HOPEWELL CITY,VIRGINIA
371,VOLUSIA COUNTY,VOLUSIA,FLORIDA
372,CHARLOTTE COUNTY,CHARLOTTE COUNTY,VIRGINIA
373,RICHMOND CITY,RICHMOND CITY,VIRGINIA
374,PITTSYLVANIA COUNTY,PITTSYLVANIA COUNTY,VIRGINIA
375,DOUGLAS COUNTY,DOUGLAS,COLORADO
376,CATAWBA COUNTY,CATAWBA,NORTH CAROLINA
377,COLUMBIA COUNTY,COLUMBIA,FLORIDA
378,DISTRICT OF COLUMBIA,WARD 3,DISTRICT OF COLUMBIA
379,DURHAM COUNTY,DURHAM,NORTH CAROLINA
380,GARLAND COUNTY,GARLAND COUNTY,ARKANSAS
381,GASTON COUNTY,GASTON,NORTH CAROLINA
383,ROWAN COUNTY,ROWAN,NORTH CAROLINA
384,LONOKE COUNTY,LONOKE COUNTY,ARKANSAS
385,WASHINGTON COUNTY,WASHINGTON,TENNESSEE
386,SHAWNEE COUNTY,SHAWNEE,KANSAS
387,FAULKNER COUNTY,FAULKNER COUNTY,ARKANSAS
388,CASS COUNTY,CASS,MISSOURI
389,HANCOCK COUNTY,HANCOCK,INDIANA
390,HONOLULU COUNTY,HONOLULU,HAWAII
391,,DISTRICT 32,ALASKA
392,GREENE COUNTY,GREENE,MISSOURI
393,BOONE COUNTY,BOONE,INDIANA
394,DOUGLAS COUNTY,DOUGLAS,NEVADA
395,LAWRENCE COUNTY,LAWRENCE,INDIANA
396,MORGAN COUNTY,MORGAN,INDIANA
397,DEARBORN COUNTY,DEARBORN,INDIANA
398,DUBOIS COUNTY,DUBOIS,INDIANA
399,SHELBY COUNTY,SHELBY,INDIANA
400,WARRICK COUNTY,WARRICK,INDIANA
401,HUNTINGTON COUNTY,HUNTINGTON,INDIANA
402,POSEY COUNTY,POSEY,INDIANA
403,DEKALB COUNTY,DEKALB,INDIANA
404,WHITLEY COUNTY,WHITLEY,INDIANA
405,KNOX COUNTY,KNOX,INDIANA
406,GREENE COUNTY,GREENE,INDIANA
407,CALAVERAS COUNTY,CALAVERAS,CALIFORNIA
409,LAWRENCE COUNTY,LAWRENCE,PENNSYLVANIA
410,MCKEAN COUNTY,MCKEAN,PENNSYLVANIA
411,WALTON COUNTY,WALTON,FLORIDA
412,BUTTE COUNTY,BUTTE,CALIFORNIA
413,MADERA COUNTY,MADERA,CALIFORNIA
414,SAN MATEO COUNTY,SAN MATEO,CALIFORNIA
416,TRINITY COUNTY,TRINITY,CALIFORNIA
417,MATAGORDA COUNTY,MATAGORDA,TEXAS
418,COLUSA COUNTY,COLUSA,CALIFORNIA
419,ALAMEDA COUNTY,ALAMEDA,CALIFORNIA
420,MAVERICK COUNTY,MAVERICK,TEXAS
421,TEHAMA COUNTY,TEHAMA,CALIFORNIA
422,ELK COUNTY,ELK,PENNSYLVANIA
423,MEDINA COUNTY,MEDINA,TEXAS
424,MENARD COUNTY,MENARD,TEXAS
425,PARK COUNTY,PARK,MONTANA
426,MIDLAND COUNTY,MIDLAND,TEXAS
427,ROBESON COUNTY,ROBESON,NORTH CAROLINA
428,FLAGLER COUNTY,FLAGLER,FLORIDA
429,SURRY COUNTY,SURRY,NORTH CAROLINA
430,HOKE COUNTY,HOKE,NORTH CAROLINA
431,SANTA BARBARA COUNTY,SANTA BARBARA,CALIFORNIA
432,,DISTRICT 33,ALASKA
433,HARTFORD COUNTY,WINDSOR,CONNECTICUT
434,WASHOE COUNTY,WASHOE,NEVADA
435,CAMERON COUNTY,CAMERON,TEXAS
436,MARIN COUNTY,MARIN,CALIFORNIA
437,BORDEN COUNTY,BORDEN,TEXAS
438,SOLANO COUNTY,SOLANO,CALIFORNIA
439,PLACER COUNTY,PLACER,CALIFORNIA
440,OSCEOLA COUNTY,OSCEOLA,FLORIDA
441,MILAM COUNTY,MILAM,TEXAS
442,MILLS COUNTY,MILLS,TEXAS
443,ADAMS COUNTY,ADAMS,COLORADO
444,ARAPAHOE COUNTY,ARAPAHOE,COLORADO
445,MITCHELL COUNTY,MITCHELL,TEXAS
446,SAN JOAQUIN COUNTY,SAN JOAQUIN,CALIFORNIA
447,SAN BENITO COUNTY,SAN BENITO,CALIFORNIA
448,PUEBLO COUNTY,PUEBLO,COLORADO
449,CUSTER COUNTY,CUSTER,COLORADO
450,ALAMOSA COUNTY,ALAMOSA,COLORADO
451,CONEJOS COUNTY,CONEJOS,COLORADO
452,COSTILLA COUNTY,COSTILLA,COLORADO
453,HUERFANO COUNTY,HUERFANO,COLORADO
454,MINERAL COUNTY,MINERAL,COLORADO
455,RIO GRANDE COUNTY,RIO GRANDE,COLORADO
456,SAGUACHE COUNTY,SAGUACHE,COLORADO
457,MONTAGUE COUNTY,MONTAGUE,TEXAS
458,MONTGOMERY COUNTY,MONTGOMERY,TEXAS
460,RUTHERFORD COUNTY,RUTHERFORD,NORTH CAROLINA
461,PLATTE COUNTY,PLATTE,MISSOURI
462,,DISTRICT 34,ALASKA
463,LEON COUNTY,LEON,FLORIDA
464,LAKE COUNTY,LAKE,CALIFORNIA
465,MOORE COUNTY,MOORE,TEXAS
466,MORRIS COUNTY,MORRIS,TEXAS
467,MOTLEY COUNTY,MOTLEY,TEXAS
468,IMPERIAL COUNTY,IMPERIAL,CALIFORNIA
469,NACOGDOCHES COUNTY,NACOGDOCHES,TEXAS
470,NAVARRO COUNTY,NAVARRO,TEXAS
471,CAMP COUNTY,CAMP,TEXAS
472,PIKE COUNTY,PIKE,PENNSYLVANIA
473,CARSON COUNTY,CARSON,TEXAS
474,DISTRICT OF COLUMBIA,WARD 5,DISTRICT OF COLUMBIA
475,DISTRICT OF COLUMBIA,WARD 1,DISTRICT OF COLUMBIA
476,,DISTRICT 35,ALASKA
477,BOSQUE COUNTY,BOSQUE,TEXAS
478,NEWTON COUNTY,NEWTON,TEXAS
479,NOLAN COUNTY,NOLAN,TEXAS
480,NUECES COUNTY,NUECES,TEXAS
481,HART COUNTY,HART,KENTUCKY
482,OCHILTREE COUNTY,OCHILTREE,TEXAS
483,OLDHAM COUNTY,OLDHAM,TEXAS
484,,DISTRICT 36,ALASKA
485,SONOMA COUNTY,SONOMA,CALIFORNIA
486,ORANGE COUNTY,ORANGE,TEXAS
487,PALO PINTO COUNTY,PALO PINTO,TEXAS
488,PANOLA COUNTY,PANOLA,TEXAS
489,PARKER COUNTY,PARKER,TEXAS
490,PARMER COUNTY,PARMER,TEXAS
491,,DISTRICT 37,ALASKA
492,BOWIE COUNTY,BOWIE,TEXAS
493,CASS COUNTY,CASS,TEXAS
494,CASTRO COUNTY,CASTRO,TEXAS
495,BAKER COUNTY,BAKER,FLORIDA
496,GILCHRIST COUNTY,GILCHRIST,FLORIDA
497,WHITFIELD COUNTY,WHITFIELD,GEORGIA
498,PUTNAM COUNTY,PUTNAM,TENNESSEE
499,CLARKE COUNTY,CLARKE,GEORGIA
500,MONTGOMERY COUNTY,MONTGOMERY,TENNESSEE
501,GILES COUNTY,GILES,TENNESSEE
502,WEAKLEY COUNTY,WEAKLEY,TENNESSEE
503,SULLIVAN COUNTY,SULLIVAN,TENNESSEE
505,CRAWFORD COUNTY,CRAWFORD,MISSOURI
506,COOK COUNTY,COOK,ILLINOIS
507,ARANSAS COUNTY,ARANSAS,TEXAS
